Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R513,1k,R_0402_1005Metric,171.526200,-69.583300,270.000000,top
R514,1k,R_0402_1005Metric,187.528200,-69.583300,270.000000,top
R515,470,R_0402_1005Metric,57.988200,-79.298800,0.000000,top
R516,10k,R_0402_1005Metric,59.512200,-67.741800,90.000000,top
R517,10k,R_0402_1005Metric,44.780200,-77.647800,90.000000,top
R518,0,R_0402_1005Metric,177.622200,-67.551300,270.000000,top
R519,0,R_0402_1005Metric,181.432200,-67.551300,270.000000,top
R520,10k,R_0402_1005Metric,176.606200,-67.551300,270.000000,top
R521,10k,R_0402_1005Metric,180.416200,-67.551300,270.000000,top
R522,1k,R_0402_1005Metric,177.622200,-69.583300,270.000000,top
R523,1k,R_0402_1005Metric,181.432200,-69.583300,270.000000,top
R601,1k,R_0402_1005Metric,153.873200,-117.652800,270.000000,top
R602,1k,R_0402_1005Metric,150.825200,-117.652800,270.000000,top
R603,75,R_0402_1005Metric,152.857200,-117.652800,90.000000,top
R604,1M,R_0402_1005Metric,210.769200,-115.112800,0.000000,top
R605,10k,R_0402_1005Metric,210.007200,-117.652800,270.000000,top
R606,10k,R_0402_1005Metric,205.689200,-114.350800,270.000000,top
R607,10k,R_0402_1005Metric,201.371200,-114.350800,270.000000,top
R608,1k,R_0402_1005Metric,212.674200,-115.112800,0.000000,top
R609,1M,R_0402_1005Metric,198.069200,-115.724800,270.000000,top
R610,1k,R_0402_1005Metric,214.071200,-115.747800,270.000000,top
R611,1k,R_0402_1005Metric,198.069200,-117.652800,270.000000,top
R612,1k,R_0402_1005Metric,147.777200,-117.652800,270.000000,top
R613,1k,R_0402_1005Metric,144.729200,-117.652800,270.000000,top
R614,75,R_0402_1005Metric,146.761200,-117.652800,90.000000,top
R615,1k,R_0402_1005Metric,214.071200,-117.652800,270.000000,top
R616,1k,R_0402_1005Metric,141.681200,-117.652800,270.000000,top
R617,1k,R_0402_1005Metric,138.633200,-117.652800,270.000000,top
